Path,SensorConfig,GaitParam,Method,Participant,Mean Symmetry of Group,SimilarityScore
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.053996687060427,0.696645377
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,lower,STSR,HMM-SM,LLPU_P03,1.1147873446238434 - 1.0231998989586062,0.660686084
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P04,1.062444792,13.00534343
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P04,1.092059626,12.80408085
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P04,1.123253513,12.93398424
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,DTW,LLPU_P04,1.155069149,13.74468837
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P04,1.062444792,0.784270146
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P04,1.092059626,0.746978938
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P04,1.123253513,0.820596162
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,MDP,LLPU_P04,1.155069149,0.778247529
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0624447916896966,0.545731007
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.0920596261433198,0.475660743
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.1232535131415362,0.485230498
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.0624447916896966 - 1.155069148610125,0.501804821
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P04,1.062444792,70.62690214
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P04,1.092059626,70.86480572
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P04,1.123253513,72.12908159
c:\GP-WearablesAnalysis\examples\logresults_27-06-24_23-49.csv,upper,STSR,DTW,LLPU_P04,1.155069149,80.47967369
