FilePath,Sensor,GaitParam,Algorithm,Participant,X,Y
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P03,1.024140619,0.567339328
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.114 - 1.114,0.536200552
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.114 - 1.088,0.601105526
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.114 - 1.054,0.513755318
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P03,1.114 - 1.024,0.538104678
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P03,1.113768923,41.99481361
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P03,1.087516487,42.27897898
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P03,1.05350565,42.64596837
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P03,1.024140619,43.69062596
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P03,1.113768923,2.483314529
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P03,1.087516487,2.46033406
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P03,1.05350565,2.423199831
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P03,1.024140619,2.611234427
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P03,1.114 - 1.114,0.534854024
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P03,1.114 - 1.088,0.561408366
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P03,1.114 - 1.054,0.467398504
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P03,1.114 - 1.024,0.416195363
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P03,1.113768923,34.27716102
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P03,1.087516487,35.28247685
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P03,1.05350565,37.45385081
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P03,1.024140619,39.4730229
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P03,1.113768923,1.976124218
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P03,1.087516487,2.171066597
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P03,1.05350565,2.140756665
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P03,1.024140619,2.420810732
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P03,1.114 - 1.114,0.684974243
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P03,1.114 - 1.088,0.694610807
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P03,1.114 - 1.054,0.698636562
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P03,1.114 - 1.024,0.701930826
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P04,1.061989443,12.73621499
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P04,1.090666335,12.6304382
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P04,1.12273036,12.88041023
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P04,1.154909809,13.75213356
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P04,1.061989443,0.78627752
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P04,1.090666335,0.746090343
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P04,1.12273036,0.740025203
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P04,1.154909809,0.751265644
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.062 - 1.062,0.862229211
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.062 - 1.091,0.817729989
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.062 - 1.123,0.826355937
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P04,1.062 - 1.155,0.791133468
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P04,1.061989443,71.0841336
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P04,1.090666335,70.29254409
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P04,1.12273036,71.98488718
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P04,1.154909809,78.65875788
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P04,1.061989443,4.69210326
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P04,1.090666335,4.198841924
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P04,1.12273036,4.118582836
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P04,1.154909809,4.497509139
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P04,1.062 - 1.062,0.647602175
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P04,1.062 - 1.091,0.604673829
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P04,1.062 - 1.123,0.603580501
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P04,1.062 - 1.155,0.569766816
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P04,1.061989443,46.15224225
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P04,1.090666335,46.62400798
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P04,1.12273036,48.54395401
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P04,1.154909809,53.96910979
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P04,1.061989443,3.176090114
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P04,1.090666335,3.194516939
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P04,1.12273036,3.465280373
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P04,1.154909809,3.501728852
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P04,1.062 - 1.062,0.774044511
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P04,1.062 - 1.091,0.818372831
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P04,1.062 - 1.123,0.74473491
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P04,1.062 - 1.155,0.785717002
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P05,1.082583485,18.37419442
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P05,1.051612869,18.2454292
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P05,1.02379083,18.06185611
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P05,1.082583485,0.959394875
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P05,1.051612869,0.939503242
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,MDP,LLPU_P05,1.02379083,0.886497783
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P05,1.083 - 1.083,0.638419558
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P05,1.083 - 1.052,0.648765198
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,HMM-SM,LLPU_P05,1.083 - 1.024,0.628844454
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P05,1.082583485,68.32138152
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P05,1.051612869,66.4678215
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,DTW,LLPU_P05,1.02379083,69.32535112
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P05,1.082583485,4.447839393
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P05,1.051612869,4.097627178
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,MDP,LLPU_P05,1.02379083,3.917594426
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P05,1.083 - 1.083,0.740128206
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P05,1.083 - 1.052,0.786688575
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,upper,STSR,HMM-SM,LLPU_P05,1.083 - 1.024,0.733249881
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P05,1.082583485,38.81189366
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P05,1.051612869,37.91089845
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,DTW,LLPU_P05,1.02379083,40.1544398
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P05,1.082583485,2.825653549
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P05,1.051612869,2.627240148
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,MDP,LLPU_P05,1.02379083,2.939891004
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P05,1.083 - 1.083,0.679740959
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P05,1.083 - 1.052,0.682096279
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,lower,STSR,HMM-SM,LLPU_P05,1.083 - 1.024,0.68214506
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P06,1.156208864,17.59342407
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P06,1.124227442,17.37317678
c:\GP-WearablesAnalysis\examples\logresults_02-07-24_10-51.csv,pelvis,STSR,DTW,LLPU_P06,1.093288763,17.95727242
